Type,From,To,Comment
"Lunch","Feb 10, 11:55 am","Feb 10, 01:45 pm",""
"DevGrowUp","Feb 12, 03:11 pm","Feb 12, 03:44 pm",""
"Daily","Feb 02, 03:37 am","Feb 02, 04:10 am",""
"DevGrowUp","Jan 29, 12:14 pm","Jan 29, 12:40 pm",""
"DevGrowUp","Feb 09, 09:12 am","Feb 09, 09:50 am",""
"DevGrowUp","Jan 22, 04:22 am","Jan 22, 04:57 am",""
"BreakTime","Jan 19, 11:32 pm","Jan 19, 11:39 pm",""
"SelfCleaning","Jan 22, 07:36 am","Jan 22, 07:56 am",""
"DevGrowUp","Jan 27, 06:01 pm","Jan 27, 06:30 pm",""
"DevGrowUp","Jan 19, 03:35 pm","Jan 19, 04:02 pm",""
"DevGrowUp","Feb 03, 09:45 pm","Feb 03, 10:15 pm",""
"DevGrowUp","Jan 18, 05:00 pm","Jan 18, 05:07 pm",""
"WorkTalk","Feb 10, 10:02 am","Feb 10, 11:06 am",""
"Writing","Jan 30, 04:52 pm","Jan 30, 05:19 pm",""
"DevGrowUp","Feb 12, 04:29 pm","Feb 12, 05:00 pm",""
"Dinner","Jan 30, 06:31 pm","Jan 30, 07:06 pm",""
"DevGrowUp","Feb 02, 02:35 pm","Feb 02, 03:05 pm",""
"BreakTime","Feb 12, 08:09 pm","Feb 12, 08:17 pm",""
"DevGrowUp","Jan 17, 12:36 pm","Jan 17, 01:07 pm",""
"BreakTime","Jan 21, 04:56 pm","Jan 21, 05:04 pm",""
"Nap","Jan 31, 05:45 am","Jan 31, 08:10 am",""
"BreakTime","Jan 26, 03:51 am","Jan 26, 03:56 am",""
"Transport","Jan 22, 06:29 pm","Jan 22, 07:51 pm",""
"Daily","Feb 07, 04:41 am","Feb 07, 05:48 am",""
"WorkTalk","Feb 09, 10:02 am","Feb 09, 10:18 am",""
"Transport","Jan 24, 08:15 am","Jan 24, 09:10 am",""
"Nap","Feb 03, 05:33 am","Feb 03, 06:01 am",""
"Upgrde","Jan 31, 11:20 am","Jan 31, 11:46 am",""
"DevGrowUp","Feb 10, 04:40 pm","Feb 10, 05:11 pm",""
"BreakTime","Jan 27, 03:41 am","Jan 27, 04:01 am",""
"DevGrowUp","Jan 22, 04:02 pm","Jan 22, 04:35 pm",""
"BreakTime","Feb 12, 06:57 pm","Feb 12, 07:04 pm",""
"BreakTime","Feb 08, 11:47 am","Feb 08, 11:54 am",""
"Lunch","Jan 22, 12:25 pm","Jan 22, 01:00 pm",""
"Upgrde","Jan 31, 09:09 pm","Jan 31, 09:47 pm",""
"BreakTime","Feb 09, 11:19 am","Feb 09, 11:26 am",""
"CoreSleep","Feb 06, 11:32 pm","Feb 07, 03:30 am",""
"Nap","Feb 09, 08:00 pm","Feb 09, 08:50 pm",""
"DevGrowUp","Jan 16, 04:02 pm","Jan 16, 04:35 pm",""
"DevGrowUp","Jan 21, 02:43 pm","Jan 21, 03:05 pm",""
"DevGrowUp","Jan 16, 05:42 pm","Jan 16, 06:08 pm",""
"DevGrowUp","Feb 07, 01:00 pm","Feb 07, 01:54 pm",""
"Transport","Feb 08, 06:35 pm","Feb 08, 07:32 pm",""
"DevGrowUp","Feb 02, 04:29 pm","Feb 02, 04:54 pm",""
"BreakTime","Jan 27, 11:07 am","Jan 27, 11:17 am",""
"Daily","Jan 23, 07:12 am","Jan 23, 07:28 am",""
"DevGrowUp","Jan 16, 08:23 pm","Jan 16, 08:46 pm",""
"DevGrowUp","Jan 29, 07:25 am","Jan 29, 07:43 am",""
"DevGrowUp","Jan 17, 09:36 am","Jan 17, 10:01 am",""
"DevGrowUp","Jan 23, 11:07 am","Jan 23, 11:41 am",""
"BreakTime","Jan 18, 01:17 pm","Jan 18, 01:19 pm",""
"Weekly","Jan 31, 05:38 pm","Jan 31, 06:07 pm",""
"DevGrowUp","Jan 16, 05:12 pm","Jan 16, 05:37 pm",""
"DevGrowUp","Feb 13, 10:17 am","Feb 13, 10:41 am",""
"BreakTime","Jan 31, 09:47 pm","Jan 31, 09:54 pm",""
"DevGrowUp","Jan 29, 04:58 pm","Jan 29, 05:25 pm",""
"Nap","Jan 29, 01:41 pm","Jan 29, 02:08 pm",""
"BreakTime","Feb 10, 11:40 am","Feb 10, 11:55 am",""
"Waste","Jan 28, 08:15 am","Jan 28, 09:14 am",""
"Nap","Jan 19, 08:30 pm","Jan 19, 08:50 pm",""
"BreakTime","Jan 16, 06:22 pm","Jan 16, 06:29 pm",""
"BreakTime","Jan 16, 12:54 pm","Jan 16, 01:00 pm",""
"BreakTime","Jan 16, 10:39 am","Jan 16, 10:42 am",""
"Lunch","Jan 29, 12:40 pm","Jan 29, 01:05 pm",""
"Nap","Jan 29, 05:34 am","Jan 29, 05:57 am",""
"WorkTalk","Feb 04, 03:31 pm","Feb 04, 04:33 pm",""
"Weekly","Feb 12, 11:45 am","Feb 12, 12:13 pm",""
"BreakTime","Jan 17, 09:34 pm","Jan 17, 09:44 pm",""
"DevGrowUp","Feb 05, 04:31 pm","Feb 05, 05:02 pm",""
"BreakTime","Feb 13, 02:24 pm","Feb 13, 02:29 pm",""
"BreakTime","Feb 08, 03:41 pm","Feb 08, 03:46 pm",""
"Upgrde","Feb 01, 03:17 pm","Feb 01, 03:46 pm",""
"DevGrowUp","Jan 21, 04:25 pm","Jan 21, 04:56 pm",""
"Upgrde","Jan 31, 09:57 pm","Jan 31, 10:31 pm",""
"DevGrowUp","Feb 08, 10:42 am","Feb 08, 11:11 am",""
"GoodMorning","Jan 19, 08:27 am","Jan 19, 08:40 am",""
"Upgrde","Feb 01, 02:40 pm","Feb 01, 03:09 pm",""
"GoodNight","Jan 14, 11:08 pm","Jan 15, 12:08 am",""
"Cooking","Feb 06, 06:10 am","Feb 06, 07:30 am",""
"BreakTime","Jan 31, 09:41 am","Jan 31, 09:43 am",""
"GoodNight","Jan 23, 10:33 pm","Jan 23, 11:21 pm",""
"DevGrowUp","Feb 10, 05:24 pm","Feb 10, 05:47 pm",""
"WorkTalk","Feb 06, 05:14 pm","Feb 06, 07:35 pm",""
"DevGrowUp","Jan 25, 05:16 pm","Jan 25, 05:47 pm",""
"BreakTime","Jan 16, 05:37 pm","Jan 16, 05:42 pm",""
"DevGrowUp","Jan 18, 02:49 pm","Jan 18, 03:20 pm",""
"Transport","Jan 19, 08:40 am","Jan 19, 10:03 am",""
"Social","Jan 18, 12:59 pm","Jan 18, 01:17 pm",""
"Lunch","Jan 27, 12:34 pm","Jan 27, 01:28 pm",""
"BreakTime","Jan 16, 03:56 pm","Jan 16, 04:02 pm",""
"WorkTalk","Feb 07, 10:01 am","Feb 07, 10:55 am",""
"BreakTime","Feb 07, 05:11 pm","Feb 07, 05:16 pm",""
"DevGrowUp","Jan 23, 01:43 pm","Jan 23, 02:15 pm",""
"DevGrowUp","Feb 09, 10:18 am","Feb 09, 10:43 am",""
"GoodMorning","Jan 23, 07:28 am","Jan 23, 08:08 am",""
"DevGrowUp","Feb 09, 05:43 am","Feb 09, 06:10 am",""
"DevGrowUp","Jan 25, 09:34 pm","Jan 25, 10:07 pm",""
"BreakTime","Jan 19, 05:19 pm","Jan 19, 05:22 pm",""
"BreakTime","Feb 04, 11:37 am","Feb 04, 11:41 am",""
"CoreSleep","Jan 25, 11:40 pm","Jan 26, 02:49 am",""
"BreakTime","Jan 29, 02:34 pm","Jan 29, 02:39 pm",""
"SelfCleaning","Jan 19, 08:50 pm","Jan 19, 09:16 pm",""
"DevGrowUp","Feb 08, 05:44 pm","Feb 08, 06:16 pm",""
"BreakTime","Jan 17, 08:53 pm","Jan 17, 09:00 pm",""
"Sport","Feb 03, 02:45 am","Feb 03, 03:24 am",""
"Writing","Jan 30, 03:45 pm","Jan 30, 04:13 pm",""
"Waste","Jan 15, 09:02 am","Jan 15, 09:56 am",""
"DevGrowUp","Jan 19, 10:50 am","Jan 19, 11:18 am",""
"BreakTime","Jan 19, 12:44 am","Jan 19, 12:50 am",""
"Nap","Jan 15, 05:39 am","Jan 15, 06:19 am",""
"DevGrowUp","Jan 27, 12:28 pm","Jan 27, 12:34 pm",""
"Waste","Jan 17, 01:32 pm","Jan 17, 01:38 pm",""
"CoreSleep","Jan 15, 12:08 am","Jan 15, 02:58 am",""
"Game","Jan 31, 03:47 am","Jan 31, 04:34 am",""
"Weekly","Jan 29, 09:49 pm","Jan 29, 10:17 pm",""
"Sport","Feb 02, 02:47 am","Feb 02, 03:37 am",""
"DevGrowUp","Feb 11, 09:51 pm","Feb 11, 10:17 pm",""
"BreakTime","Jan 18, 02:40 pm","Jan 18, 02:49 pm",""
"DevGrowUp","Jan 22, 05:04 am","Jan 22, 05:35 am",""
"BreakTime","Jan 19, 11:18 am","Jan 19, 11:25 am",""
"BreakTime","Jan 17, 05:53 pm","Jan 17, 06:00 pm",""
"DevGrowUp","Jan 25, 05:57 pm","Jan 25, 06:33 pm",""
"DevGrowUp","Feb 12, 02:38 pm","Feb 12, 03:03 pm",""
"Lunch","Jan 18, 11:52 am","Jan 18, 12:33 pm",""
"GoodNight","Feb 08, 10:25 pm","Feb 09, 05:04 am",""
"DevGrowUp","Feb 11, 02:18 pm","Feb 11, 02:53 pm",""
"DevGrowUp","Jan 17, 06:00 pm","Jan 17, 06:21 pm",""
"Work","Jan 17, 02:20 pm","Jan 17, 03:20 pm",""
"WC","Jan 24, 07:38 pm","Jan 24, 07:59 pm",""
"Nap","Jan 17, 09:12 am","Jan 17, 09:36 am",""
"Nap","Jan 15, 08:42 am","Jan 15, 09:02 am",""
"BreakTime","Feb 08, 03:10 pm","Feb 08, 03:15 pm",""
"Nap","Jan 27, 07:44 pm","Jan 27, 08:25 pm",""
"BreakTime","Jan 25, 11:28 am","Jan 25, 11:31 am",""
"DevGrowUp","Feb 05, 09:15 pm","Feb 05, 09:42 pm",""
"DevGrowUp","Feb 11, 03:53 pm","Feb 11, 04:22 pm",""
"Nap","Jan 29, 09:06 am","Jan 29, 09:34 am",""
"GoodMorning","Feb 07, 07:36 am","Feb 07, 07:56 am",""
"Sport","Jan 22, 02:59 am","Jan 22, 03:29 am",""
"Nap","Feb 12, 02:02 pm","Feb 12, 02:38 pm",""
"BreakTime","Jan 30, 04:13 pm","Jan 30, 04:20 pm",""
"BreakTime","Jan 17, 11:03 am","Jan 17, 11:07 am",""
"DevGrowUp","Jan 27, 11:17 am","Jan 27, 12:21 pm",""
"WorkTalk","Jan 23, 10:01 am","Jan 23, 10:36 am",""
"DevGrowUp","Jan 17, 10:27 pm","Jan 17, 10:59 pm",""
"DevGrowUp","Jan 21, 09:34 pm","Jan 21, 10:17 pm",""
"BreakTime","Jan 17, 11:34 am","Jan 17, 12:05 pm",""
"DevGrowUp","Jan 27, 04:54 pm","Jan 27, 05:21 pm",""
"Upgrde","Feb 09, 11:18 pm","Feb 09, 11:29 pm",""
